"titan_timer"               "Next Titans In"
"titan_timer_before"        "Waiting Game Start"

"bshop_title"               "Titanic Shop"
"bshop_buy"                 "BUY"
"bshop_health_description"  "+1000 Titan Health."
"bshop_armor_description"   "+1 Titan Armor."
"bshop_ancient_armor_description"   "+1 Ancient Armor."
"bshop_damage_description"  "+100 Titan Damage."
"bshop_magical_res_description"  "+10% Titan Magical Resistance."
"bshop_own"                 "Own: {d:own}"
"bshop_cost"                "Cost: {d:cost}"

"dota_hud_error_forbidden_rule_active"      "Can't teleport while there is a Forbidden Rule Active"
"dota_hud_error_forbidden_life_stealer_infest"  "Infest will not work, this is not Mo'rokai"
"dota_hud_error_max_buff_own"       "Buff is already maxed out"
